I0,I1,I2,I3,I4,I5,I6
0,93.007507,-0.397825,1.532412,0,0,0
0,93.007507,-0.397825,1.532412,0,0,0
0,93.00293,-0.397825,1.532412,0,0,0
0,93.00293,-0.397825,1.532412,0,0,0
0,92.995911,-0.397825,1.532412,0,0,0
0,92.993195,-0.397825,1.532412,0,0,0
0,92.993195,-0.397825,1.532412,0,0,0
0,92.989616,-0.397825,1.532412,0,0,0
0,92.989616,-0.397825,1.532412,0,0,0
0,92.986862,-0.397825,1.532412,0,0,0
0,92.978813,-0.397825,1.532412,0,0,0
0,92.978813,-0.397825,1.532412,0,0,0
0,92.972549,-0.397825,1.532412,0,0,0
0,92.972549,-0.397825,1.532412,0,0,0
0,92.964241,-0.39792,1.532412,0,0,0
0,92.960266,-0.39792,1.532412,0,0,0
0,92.960266,-0.39792,1.532412,0,0,0
0,92.956413,-0.39792,1.532412,0,0,0
0,92.956413,-0.39792,1.532412,0,0,0
0,92.955322,-0.39792,1.532412,0,0,0
0,92.95359,-0.39792,1.532412,0,0,0
0,92.95359,-0.39792,1.532412,0,0,0
0,92.95208,-0.39792,1.532412,0,0,0
0,92.95208,-0.39792,1.532412,0,0,0
0,92.950027,-0.39792,1.532412,0,0,0
0,92.949066,-0.39792,1.532412,0,0,0
0,92.949066,-0.39792,1.532412,0,0,0
0,92.947571,-0.39792,1.532412,0,0,0
0,92.947571,-0.39792,1.532412,0,0,0
0,92.946602,-0.39792,1.532412,0,0,0
0,92.945709,-0.39792,1.532412,0,0,0
0,92.945709,-0.39792,1.532412,0,0,0
0,92.945427,-0.39792,1.532412,0,0,0
0,92.945427,-0.39792,1.532412,0,0,0
0,92.945564,-0.39792,1.532412,0,0,0
0,92.946548,-0.39792,1.532412,0,0,0
0,92.946548,-0.39792,1.532412,0,0,0
0,92.94825,-0.39792,1.532412,0,0,0
0,92.94825,-0.39792,1.532412,0,0,0
0,92.949997,-0.39792,1.532412,0,0,0
0,92.951477,-0.39792,1.532412,0,0,0
0,92.951477,-0.39792,1.532412,0,0,0
0,92.952667,-0.39792,1.532412,0,0,0
0,92.952667,-0.39792,1.532412,0,0,0
0,92.954147,-0.39792,1.532412,0,0,0
0,92.955711,-0.39792,1.532412,0,0,0
0,92.955711,-0.39792,1.532508,0,0,0
0,92.956261,-0.39792,1.532508,0,0,0
0,92.956261,-0.39792,1.532508,0,0,0
0,92.956413,-0.398016,1.532508,0,0,0
0,92.954758,-0.398016,1.532508,0,0,0
0,92.954758,-0.398016,1.532508,0,0,0
0,92.953484,-0.398016,1.532508,0,0,0
0,92.953484,-0.398016,1.532508,0,0,0
0,92.949905,-0.398016,1.532508,0,0,0
0,92.946899,-0.398016,1.532508,0,0,0
0,92.946899,-0.398016,1.532508,0,0,0
0,92.940193,-0.398016,1.532508,0,0,0
0,92.940193,-0.398016,1.532508,0,0,0
0,92.935364,-0.398016,1.532508,0,0,0
0,92.927338,-0.398112,1.532508,0,0,0
0,92.927338,-0.398112,1.532508,0,0,0
0,92.922325,-0.398112,1.532508,0,0,0
0,92.922325,-0.398112,1.532508,0,0,0
0,92.918495,-0.398112,1.532508,0,0,0
0,92.918442,-0.398112,1.532508,0,0,0
0,92.918442,-0.398112,1.532604,0,0,0
0,92.921478,-0.398112,1.532604,0,0,0
0,92.921478,-0.398112,1.532604,0,0,0
0,92.922905,-0.398112,1.532604,0,0,0
0,92.926392,-0.398112,1.532604,0,0,0
0,92.926392,-0.398112,1.532604,0,0,0
0,92.930023,-0.398112,1.532604,0,0,0
0,92.930023,-0.398112,1.532604,0,0,0
0,92.935493,-0.398112,1.532604,0,0,0
0,92.938133,-0.398112,1.532604,0,0,0
0,92.938133,-0.398112,1.532604,0,0,0
0,92.942719,-0.398112,1.532604,0,0,0
0,92.942719,-0.398112,1.532604,0,0,0
0,92.944534,-0.398112,1.532604,0,0,0
0,92.945351,-0.398112,1.532604,0,0,0
0,92.945351,-0.398112,1.532604,0,0,0
0,92.946465,-0.398112,1.532604,0,0,0
0,92.946465,-0.398112,1.532604,0,0,0
0,92.94696,-0.398112,1.532604,0,0,0
0,92.945412,-0.398112,1.532604,0,0,0
0,92.945412,-0.398112,1.532604,0,0,0
0,92.942268,-0.398112,1.532604,0,0,0
0,92.942268,-0.398112,1.532604,0,0,0
0,92.940353,-0.398112,1.532604,0,0,0
0,92.936028,-0.398112,1.532604,0,0,0
0,92.936028,-0.398112,1.532604,0,0,0
0,92.933594,-0.398112,1.532604,0,0,0
0,92.933594,-0.398112,1.532604,0,0,0
0,92.931557,-0.398112,1.532604,0,0,0
0,92.930244,-0.398112,1.532604,0,0,0
0,92.930244,-0.398112,1.532604,0,0,0
0,92.92762,-0.398112,1.532604,0,0,0
0,92.92762,-0.398112,1.532604,0,0,0
0,92.925674,-0.398112,1.532604,0,0,0
0,92.921738,-0.398112,1.532604,0,0,0
0,92.921738,-0.398112,1.532604,0,0,0
0,92.91861,-0.398112,1.532604,0,0,0
0,92.91861,-0.398112,1.532604,0,0,0
0,92.913658,-0.398112,1.532604,0,0,0
0,92.910515,-0.398112,1.532604,0,0,0
0,92.910515,-0.398112,1.532604,0,0,0
0,92.906868,-0.398112,1.532604,0,0,0
0,92.906868,-0.398112,1.532604,0,0,0
0,92.904884,-0.398112,1.532604,0,0,0
0,92.902275,-0.398112,1.532604,0,0,0
0,92.902275,-0.398112,1.532604,0,0,0
0,92.900497,-0.398112,1.532604,0,0,0
0,92.900497,-0.398112,1.532604,0,0,0
0,92.898308,-0.398112,1.532604,0,0,0
0,92.897385,-0.398112,1.532604,0,0,0
0,92.897385,-0.398112,1.532604,0,0,0
0,92.895973,-0.398112,1.532604,0,0,0
0,92.895973,-0.398112,1.532604,0,0,0
0,92.895874,-0.398112,1.532604,0,0,0
0,92.894943,-0.398112,1.532604,0,0,0
0,92.894943,-0.398112,1.532604,0,0,0
0,92.894669,-0.398112,1.532604,0,0,0
0,92.894669,-0.398112,1.532604,0,0,0
0,92.894798,-0.398112,1.532604,0,0,0
0,92.89521,-0.398112,1.532604,0,0,0
0,92.89521,-0.398112,1.532604,0,0,0
0,92.894775,-0.398112,1.532604,0,0,0
0,92.894775,-0.398112,1.532604,0,0,0
0,92.894783,-0.398112,1.532604,0,0,0
0,92.894188,-0.398112,1.532604,0,0,0
0,92.894188,-0.398112,1.532604,0,0,0
0,92.893692,-0.398112,1.532604,0,0,0
0,92.893692,-0.398112,1.532604,0,0,0
0,92.892311,-0.398112,1.532604,0,0,0
0,92.891357,-0.398112,1.532604,0,0,0
0,92.891357,-0.398112,1.532604,0,0,0
0,92.889977,-0.398112,1.532604,0,0,0
0,92.889977,-0.398112,1.532604,0,0,0
0,92.888618,-0.398112,1.532604,0,0,0
0,92.886154,-0.398112,1.532604,0,0,0
0,92.886154,-0.398112,1.532604,0,0,0
0,92.884338,-0.398112,1.532604,0,0,0
0,92.884338,-0.398112,1.532604,0,0,0
0,92.881668,-0.398016,1.532604,0,0,0
0,92.879913,-0.398016,1.532604,0,0,0
0,92.879913,-0.398016,1.532604,0,0,0
0,92.877853,-0.398016,1.532604,0,0,0
0,92.877853,-0.398016,1.532604,0,0,0
0,92.876297,-0.398016,1.532604,0,0,0
0,92.873856,-0.398016,1.532604,0,0,0
0,92.873856,-0.398016,1.532604,0,0,0
0,92.87114,-0.398016,1.532604,0,0,0
0,92.87114,-0.39792,1.532604,0,0,0
0,92.865166,-0.39792,1.532604,0,0,0
0,92.85936,-0.39792,1.532604,0,0,0
0,92.85936,-0.397825,1.532604,0,0,0
0,92.851524,-0.397825,1.532604,0,0,0
0,92.851524,-0.397825,1.532604,0,0,0
0,92.846596,-0.397825,1.532604,0,0,0
0,92.839424,-0.397825,1.532604,0,0,0
0,92.839424,-0.397728,1.532604,0,0,0
0,92.833267,-0.397633,1.532604,0,0,0
0,92.833267,-0.397633,1.532604,0,0,0
0,92.822365,-0.397537,1.532604,0,0,0
0,92.814087,-0.397441,1.532604,0,0,0
0,92.814087,-0.397345,1.532604,0,0,0
0,92.802986,-0.397249,1.532604,0,0,0
0,92.802986,-0.397153,1.532604,0,0,0
0,92.795135,-0.397058,1.532604,0,0,0
0,92.782784,-0.396866,1.532604,0,0,0
0,92.782784,-0.396674,1.532508,0,0,0
0,92.773209,-0.396387,1.532508,0,0,0
0,92.773209,-0.396195,1.532508,0,0,0
0,92.757416,-0.395908,1.532412,0,0,0
0,92.744484,-0.395716,1.532412,0,0,0
0,92.744484,-0.395429,1.532412,0,0,0
0,92.721786,-0.395333,1.532316,0,0,0
0,92.721786,-0.395045,1.532316,0,0,0
0,92.70356,-0.394949,1.532316,0,0,0
0,92.675934,-0.394758,1.532316,0,0,0
0,92.675934,-0.394566,1.532316,0,0,0
0,92.65818,-0.394375,1.532316,0,0,0
0,92.65818,-0.394183,1.532316,0,0,0
0,92.636078,-0.3938,1.532316,0,0,0
0,92.622086,-0.393608,1.532221,0,0,0
0,92.622086,-0.393129,1.532221,0,0,0
0,92.599823,-0.392841,1.532125,0,0,0
0,92.599823,-0.392458,1.532125,0,0,0
0,92.581718,-0.392267,1.532125,0,0,0
0,92.549248,-0.391979,1.532029,0,0,0
0,92.549248,-0.391787,1.532029,0,0,0
0,92.523277,-0.391404,1.532029,0,0,0
0,92.523277,-0.391212,1.532029,0,0,0
0,92.487595,-0.390733,1.532029,0,0,0
0,92.467392,-0.390446,1.532029,0,0,0
0,92.467392,-0.389966,1.532029,0,0,0
0,92.442108,-0.389775,1.531933,0,0,0
0,92.442108,-0.389392,1.531933,0,0,0
0,92.423119,-0.3892,1.531933,0,0,0
0,92.385994,-0.388912,1.531933,0,0,0
0,92.385994,-0.388625,1.531837,0,0,0
0,92.35733,-0.388146,1.531837,0,0,0
0,92.35733,-0.387858,1.531741,0,0,0
0,92.319977,-0.387188,1.531741,0,0,0
0,92.298454,-0.3869,1.531741,0,0,0
0,92.298454,-0.386517,1.531741,0,0,0
0,92.26635,-0.386325,1.531645,0,0,0
0,92.26635,-0.385846,1.531645,0,0,0
0,92.240219,-0.385559,1.531645,0,0,0
0,92.196541,-0.384888,1.531645,0,0,0
0,92.196541,-0.384505,1.531645,0,0,0
0,92.168571,-0.383929,1.531645,0,0,0
0,92.168571,-0.383834,1.531645,0,0,0
0,92.133865,-0.383546,1.531645,0,0,0
0,92.110153,-0.383355,1.531645,0,0,0
0,92.110153,-0.382971,1.531645,0,0,0
0,92.066414,-0.382684,1.531645,0,0,0
0,92.066414,-0.382013,1.531645,0,0,0
0,92.036194,-0.381725,1.531645,0,0,0
0,91.999046,-0.381342,1.531645,0,0,0
0,91.999046,-0.38115,1.531645,0,0,0
0,91.979683,-0.380959,1.531645,0,0,0
0,91.979683,-0.380767,1.531549,0,0,0
0,91.948174,-0.380384,1.531549,0,0,0
0,91.923302,-0.380192,1.531549,0,0,0
0,91.923302,-0.379713,1.531549,0,0,0
0,91.888985,-0.379521,1.531549,0,0,0
0,91.888985,-0.379042,1.531549,0,0,0
0,91.873459,-0.378851,1.531549,0,0,0
0,91.851082,-0.378563,1.531549,0,0,0
0,91.851082,-0.378467,1.531453,0,0,0
0,91.828644,-0.37818,1.531453,0,0,0
0,91.828644,-0.378084,1.531358,0,0,0
0,91.781822,-0.377797,1.531358,0,0,0
0,91.754257,-0.377701,1.531262,0,0,0
0,91.754257,-0.377509,1.531262,0,0,0
0,91.72963,-0.377413,1.531262,0,0,0
0,91.72963,-0.37703,1.531166,0,0,0
